temperature	energy	order
5.00000000 	-13.45362405 	-14.10673598 	
5.00000000 	-13.45362405 	-14.10673598 	
5.00000000 	-13.45362405 	-14.10673598 	
5.00000000 	-11.78982612 	-14.00000000 	
5.00000000 	-8.54400375 	-15.52417470 	
5.00000000 	-8.54400375 	-15.52417470 	
5.00000000 	-8.54400375 	-15.52417470 	
5.00000000 	-8.54400375 	-15.52417470 	
5.00000000 	-8.88819442 	-15.71623365 	
5.00000000 	-8.88819442 	-15.71623365 	
5.00000000 	-8.88819442 	-15.71623365 	
5.00000000 	-7.81024968 	-15.52417470 	
5.00000000 	-8.71779789 	-17.00000000 	
5.00000000 	-13.22875656 	-17.08800749 	
5.00000000 	-13.22875656 	-17.08800749 	
5.00000000 	-13.22875656 	-17.08800749 	
5.00000000 	-13.22875656 	-17.08800749 	
5.00000000 	-17.34935157 	-15.71623365 	
5.00000000 	-14.93318452 	-14.42220510 	
5.00000000 	-14.93318452 	-14.42220510 	
5.00000000 	-14.93318452 	-14.42220510 	
5.00000000 	-14.93318452 	-14.42220510 	
5.00000000 	-14.93318452 	-14.42220510 	
5.00000000 	-14.93318452 	-14.42220510 	
5.00000000 	-16.46207763 	14.93318452 	
5.00000000 	-17.34935157 	-14.42220510 	
5.00000000 	-17.34935157 	-14.42220510 	
5.00000000 	-17.34935157 	-14.42220510 	
5.00000000 	-17.34935157 	-14.42220510 	
5.00000000 	-17.34935157 	-14.42220510 	
5.00000000 	-17.34935157 	-14.42220510 	
5.00000000 	-17.34935157 	-14.42220510 	
5.00000000 	-15.62049935 	13.22875656 	
5.00000000 	-16.46207763 	-12.76714533 	
5.00000000 	-16.46207763 	-12.76714533 	
5.00000000 	-15.62049935 	13.22875656 	
5.00000000 	-13.89244399 	-12.76714533 	
5.00000000 	-13.89244399 	-12.76714533 	
5.00000000 	-14.93318452 	11.53256259 	
5.00000000 	-14.93318452 	11.53256259 	
5.00000000 	-14.93318452 	11.53256259 	
5.00000000 	-14.93318452 	11.53256259 	
5.00000000 	-14.93318452 	11.53256259 	
5.00000000 	-14.93318452 	11.53256259 	
5.00000000 	-19.00000000 	10.44030651 	
5.00000000 	-21.79449472 	9.53939201 	
5.00000000 	-21.79449472 	9.53939201 	
5.00000000 	-21.79449472 	9.53939201 	
5.00000000 	-23.38803113 	10.58300524 	
5.00000000 	-23.38803113 	10.58300524 	
5.00000000 	-23.38803113 	10.58300524 	
5.00000000 	-23.38803113 	10.58300524 	
5.00000000 	-23.38803113 	10.58300524 	
5.00000000 	-19.92485885 	8.88819442 	
5.00000000 	-21.65640783 	10.14889157 	
