temperature	energy	order_param
5.00000000 	-936.00000000 	562.00000000 	
5.00000000 	-928.00000000 	564.00000000 	
5.00000000 	-991.00000000 	570.00000000 	
5.00000000 	-959.00000000 	567.00000000 	
5.00000000 	-951.00000000 	565.00000000 	
5.00000000 	-960.00000000 	567.00000000 	
5.00000000 	-930.00000000 	565.00000000 	
5.00000000 	-922.00000000 	564.00000000 	
5.00000000 	-890.00000000 	562.00000000 	
5.00000000 	-899.00000000 	561.00000000 	
5.00000000 	-919.00000000 	565.00000000 	
5.00000000 	-915.00000000 	567.00000000 	
5.00000000 	-939.00000000 	571.00000000 	
5.00000000 	-925.00000000 	568.00000000 	
5.00000000 	-918.00000000 	564.00000000 	
5.00000000 	-920.00000000 	565.00000000 	
5.00000000 	-936.00000000 	566.00000000 	
5.00000000 	-938.00000000 	563.00000000 	
5.00000000 	-910.00000000 	557.00000000 	
5.00000000 	-894.00000000 	556.00000000 	
5.00000000 	-885.00000000 	554.00000000 	
5.00000000 	-854.00000000 	551.00000000 	
5.00000000 	-886.00000000 	553.00000000 	
5.00000000 	-862.00000000 	551.00000000 	
5.00000000 	-870.00000000 	553.00000000 	
5.00000000 	-806.00000000 	551.00000000 	
5.00000000 	-817.00000000 	553.00000000 	
5.00000000 	-877.00000000 	562.00000000 	
5.00000000 	-877.00000000 	564.00000000 	
5.00000000 	-873.00000000 	565.00000000 	
5.00000000 	-864.00000000 	563.00000000 	
5.00000000 	-912.00000000 	565.00000000 	
5.00000000 	-895.00000000 	563.00000000 	
5.00000000 	-867.00000000 	561.00000000 	
5.00000000 	-875.00000000 	563.00000000 	
5.00000000 	-875.00000000 	566.00000000 	
5.00000000 	-882.00000000 	567.00000000 	
5.00000000 	-900.00000000 	566.00000000 	
5.00000000 	-909.00000000 	567.00000000 	
5.00000000 	-936.00000000 	568.00000000 	
5.00000000 	-918.00000000 	565.00000000 	
5.00000000 	-915.00000000 	564.00000000 	
5.00000000 	-922.00000000 	565.00000000 	
5.00000000 	-908.00000000 	562.00000000 	
5.00000000 	-880.00000000 	560.00000000 	
5.00000000 	-880.00000000 	558.00000000 	
5.00000000 	-871.00000000 	559.00000000 	
5.00000000 	-844.00000000 	560.00000000 	
5.00000000 	-848.00000000 	558.00000000 	
5.00000000 	-864.00000000 	561.00000000 	
5.00000000 	-880.00000000 	564.00000000 	
